School Name,Latitude,Longitude,LGA
Grasmere Primary School,-38.28599,142.52288,Moyne (S)
Grayling Primary School,-38.08273,145.37283,Casey (C)
Great Ryrie Primary School,-37.8238,145.23763,Maroondah (C)
Great Western Primary School,-37.14851,142.85173,Northern Grampians (S)
Greenhills Primary School,-37.69228,145.11865,Banyule (C)
Greensborough Primary School,-37.70357,145.1005,Banyule (C)
Greenvale Primary School,-37.63983,144.88618,Hume (C)
Greta Valley Primary School,-36.61784,146.23636,Wangaratta (RC)
Grey Street Primary School (Traralgon),-38.19305,146.53712,Latrobe (C)
Greythorn Primary School,-37.80143,145.09596,Boroondara (C)
Grovedale Primary School,-38.19764,144.34776,Greater Geelong (C)
Grovedale West Primary School,-38.20828,144.32895,Greater Geelong (C)
Gunbower Primary School,-35.95463,144.37232,Campaspe (S)
Guthridge Primary School,-38.0957,147.08383,Wellington (S)
Guthrie Street Primary School Shepparton,-36.3985,145.39097,Greater Shepparton (C)
Haddon Primary School,-37.58864,143.72171,Golden Plains (S)
Hallam Primary School,-38.00176,145.25824,Casey (C)
Halls Gap Primary School,-37.13748,142.51743,Northern Grampians (S)
Hamilton (Gray Street) Primary School,-37.74491,142.02138,Southern Grampians (S)
Hamilton North Primary School,-37.72646,141.99515,Southern Grampians (S)
Hamlyn Banks Primary School,-38.11776,144.3271,Greater Geelong (C)
Hampton Park Primary School,-38.03041,145.25289,Casey (C)
Hampton Primary School,-37.93339,145.00348,Bayside (C)
Harcourt Valley Primary School,-37.00297,144.25723,Mount Alexander (S)
Harkaway Primary School,-38.00085,145.34517,Casey (C)
Harrietville Primary School,-36.88771,147.06494,Alpine (S)
Harrisfield Primary School,-37.95444,145.1799,Greater Dandenong (C)
Harston Primary School,-36.46986,145.14175,Greater Shepparton (C)
Hartwell Primary School,-37.84805,145.08447,Boroondara (C)
Harvest Home Primary School,-37.62208,145.00226,Whittlesea (C)
Hastings Primary School,-38.2997,145.18947,Mornington Peninsula (S)
Hawthorn West Primary School,-37.82011,145.01838,Boroondara (C)
Hazelwood North Primary School,-38.26819,146.44768,Latrobe (C)
Healesville Primary School,-37.65713,145.51604,Yarra Ranges (S)
Heany Park Primary School,-37.93392,145.24288,Knox (C)
Heathcote Primary School,-36.92401,144.70685,Greater Bendigo (C)
Heatherhill Primary School,-37.96265,145.15815,Greater Dandenong (C)
Heathmont East Primary School,-37.83035,145.25769,Maroondah (C)
Heidelberg Primary School,-37.7547,145.0678,Banyule (C)
Hepburn Primary School,-37.30972,144.13276,Hepburn (S)
Herne Hill Primary School,-38.12936,144.33245,Greater Geelong (C)
Hesket Primary School,-37.34781,144.61978,Macedon Ranges (S)
Heyfield Primary School,-37.98211,146.78494,Wellington (S)
Heywood Consolidated School,-38.12752,141.61292,Glenelg (S)
Highton Primary School,-38.17216,144.31708,Greater Geelong (C)
Highvale Primary School,-37.86702,145.17407,Monash (C)
Hillsmeade Primary School,-38.06472,145.30746,Casey (C)
Hoa Nghiem Primary School,-37.96694,145.14879,Greater Dandenong (C)
Hoddles Creek Primary School,-37.83174,145.59775,Yarra Ranges (S)
Holy Child School,-37.66574,144.93198,Hume (C)
Holy Cross Catholic Primary School,-37.53046,144.9052,Hume (C)
Holy Cross Primary School,-37.45589,144.59778,Macedon Ranges (S)
Holy Eucharist School,-37.75644,144.81141,Brimbank (C)
Holy Family School,-38.1111,144.33833,Greater Geelong (C)
Holy Family School,-37.87426,145.12963,Monash (C)
Holy Family School,-37.9905,145.23863,Casey (C)
Holy Name School,-37.73026,145.01857,Darebin (C)
Holy Rosary School,-37.79558,144.92878,Melbourne (C)
Holy Rosary School,-36.72487,144.31057,Greater Bendigo (C)
Holy Rosary School,-36.91768,144.70111,Greater Bendigo (C)
Holy Saviour Parish School,-37.86234,145.17504,Whitehorse (C)
Holy Spirit Parish School,-38.13581,144.32996,Greater Geelong (C)
Holy Spirit School,-37.76085,145.01619,Darebin (C)
Holy Spirit School,-37.79323,145.23692,Maroondah (C)
Holy Trinity Catholic Primary School,-37.58479,144.70532,Hume (C)
Holy Trinity Primary School,-37.69844,145.13546,Banyule (C)
Holy Trinity School,-37.87747,145.24291,Knox (C)
Horsham Primary School,-36.71138,142.21515,Horsham (RC)
Horsham West and Haven Primary School,-36.71742,142.17999,Horsham (RC)
Hughesdale Primary School,-37.90584,145.07764,Monash (C)
Huntingdale Primary School,-37.91308,145.10236,Monash (C)
Huntly Primary School,-36.66254,144.3344,Greater Bendigo (C)
Hurstbridge Primary School,-37.6359,145.19812,Nillumbik (S)
Immaculate Heart of Mary School,-38.18474,146.29159,Latrobe (C)
Inglewood Primary School,-36.57394,143.87045,Loddon (S)
Inverleigh Primary School,-38.10094,144.05469,Golden Plains (S)
Inverloch Primary School,-38.6312,145.72862,Bass Coast (S)
Invermay Primary School,-37.52053,143.87458,Ballarat (C)
Iramoo Primary School,-37.89587,144.62857,Wyndham (C)
Irymple Primary School,-34.2266,142.15908,Mildura (RC)
Irymple South Primary School,-34.25249,142.19062,Mildura (RC)
Ivanhoe East Primary School,-37.77459,145.05945,Banyule (C)
Ivanhoe Primary School,-37.76657,145.04298,Banyule (C)
James Cook Primary School,-37.97906,145.24585,Casey (C)
Jamieson Primary School,-37.30126,146.14,Mansfield (S)
Jells Park Primary School,-37.90284,145.19285,Monash (C)
Jeparit Primary School,-36.14134,141.98405,Hindmarsh (S)
Jindivick Primary School,-38.02762,145.90113,Baw Baw (S)
John Henry Primary School,-38.07754,145.4428,Cardinia (S)
Kalinda Primary School,-37.7893,145.25483,Maroondah (C)
Kallista Primary School,-37.88509,145.37,Yarra Ranges (S)
Kananook Primary School,-38.12516,145.13174,Frankston (C)
Kangaroo Flat Primary School,-36.78768,144.23409,Greater Bendigo (C)
Kangaroo Ground Primary School,-37.69174,145.21466,Nillumbik (S)
Karingal Heights Primary School,-38.14148,145.16681,Frankston (C)
Karingal Primary School,-38.13792,145.15228,Frankston (C)
Karoo Primary School,-37.90532,145.26328,Knox (C)
Karwan Primary School,-37.85261,144.64577,Wyndham (C)
Katamatite Primary School,-36.07735,145.6853,Moira (S)
Katandra West Primary School,-36.22547,145.56071,Greater Shepparton (C)
Katunga Primary School,-35.99856,145.45561,Moira (S)
Keelonith Primary School,-37.6232,144.87884,Hume (C)
Keilor Heights Primary School,-37.73752,144.86649,Moonee Valley (C)
Keilor Primary School,-37.7169,144.8357,Brimbank (C)
Keilor Views Primary School,-37.71765,144.80919,Brimbank (C)
Kennington Primary School,-36.7688,144.3075,Greater Bendigo (C)
Kensington Primary School,-37.79267,144.92762,Melbourne (C)
Kent Park Primary School,-37.88349,145.26273,Knox (C)
Kerang Primary School,-35.73169,143.92114,Gannawarra (S)
Kerang South Primary School,-35.74123,143.92716,Gannawarra (S)
Kerrimuir Primary School,-37.80368,145.13525,Whitehorse (C)
Kew East Primary School,-37.79647,145.04915,Boroondara (C)
Kew Primary School,-37.80364,145.03339,Boroondara (C)
Keysborough Gardens Primary School,-38.00951,145.16132,Greater Dandenong (C)
Keysborough Primary School,-37.98263,145.15242,Greater Dandenong (C)
Kialla Central Primary School,-36.4527,145.43115,Greater Shepparton (C)
Kialla West Primary School,-36.46601,145.38946,Greater Shepparton (C)
Kiewa Valley Primary School,-36.25105,147.03877,Indigo (S)
Kilberry Valley Primary School,-38.03416,145.27957,Casey (C)
Killara Primary School,-37.56379,144.70458,Hume (C)
Kilmore Primary School,-37.29577,144.94752,Mitchell (S)
Kilsyth Primary School,-37.80211,145.31494,Yarra Ranges (S)
Kinglake Primary School,-37.52157,145.35664,Murrindindi (S)
Kinglake West Primary School,-37.4813,145.2596,Murrindindi (S)
Kings Park Primary School,-37.73315,144.76754,Brimbank (C)
Kingsbury Primary School,-37.71602,145.0372,Darebin (C)
Kingsley Park Primary School,-38.16808,145.1557,Frankston (C)
Kingston Heath Primary School,-37.96278,145.07907,Kingston (C)
Kingsville Primary School,-37.8126,144.87466,Maribyrnong (C)
Kingswood Primary School,-37.983,145.1238,Kingston (C)
Kismet Park Primary School,-37.56525,144.72867,Hume (C)
Knox Central Primary School,-37.86116,145.25498,Knox (C)
Knox Gardens Primary School,-37.88228,145.22958,Knox (C)
Knox Park Primary School,-37.88363,145.2514,Knox (C)
Kongwak Primary School,-38.51511,145.71286,South Gippsland (S)
Koo Wee Rup Primary School,-38.19483,145.49286,Cardinia (S)
Koondrook Primary School,-35.63487,144.12987,Gannawarra (S)
Koonwarra Village School,-38.54791,145.94392,South Gippsland (S)
Koorlong Primary School,-34.27806,142.08485,Mildura (RC)
Koroit And District Primary School,-38.29244,142.3687,Moyne (S)
Kororoit Creek Primary School,-37.73503,144.75458,Melton (C)
Korumburra Primary School,-38.43513,145.82564,South Gippsland (S)
Kunyung Primary School,-38.18768,145.07623,Mornington Peninsula (S)
Kurmile Primary School,-38.05934,145.39722,Cardinia (S)
Kurrun Primary School,-38.07026,145.40499,Cardinia (S)
Kurunjang Primary School,-37.67057,144.58632,Melton (C)
Kyneton Primary School,-37.24889,144.46269,Macedon Ranges (S)
Laa Yulta Primary School,-37.88549,144.59592,Wyndham (C)
Labertouche Primary School,-38.03767,145.80494,Baw Baw (S)
Laburnum Primary School,-37.8271,145.13921,Whitehorse (C)
Lake Boga Primary School,-35.46451,143.63207,Swan Hill (RC)
Lakes Entrance Primary School,-37.87598,147.99424,East Gippsland (S)
Lal Lal Primary School,-37.67672,144.01071,Moorabool (S)
Lalor East Primary School,-37.67658,145.03554,Whittlesea (C)
Lalor Gardens Primary School,-37.66369,145.00135,Whittlesea (C)
Lalor North Primary School,-37.66415,145.02854,Whittlesea (C)
Lalor Primary School,-37.67008,145.02539,Whittlesea (C)
Lancaster Primary School,-36.31325,145.13282,Campaspe (S)
Lancefield Primary School,-37.27495,144.72642,Macedon Ranges (S)
Landsborough Primary School,-37.00586,143.13591,Pyrenees (S)
Lang Lang Primary School,-38.26317,145.5694,Cardinia (S)
Langley Primary School,-37.17118,144.48966,Mount Alexander (S)
Langwarrin Park Primary School,-38.15092,145.2025,Frankston (C)
Langwarrin Primary School,-38.16039,145.18985,Frankston (C)
Lara Lake Primary School,-38.0304,144.39564,Greater Geelong (C)
Lara Primary School,-38.01592,144.41054,Greater Geelong (C)
Lardner and District Primary School,-38.20464,145.88035,Baw Baw (S)
Launching Place Primary School,-37.7825,145.57077,Yarra Ranges (S)
Laurimar Primary School,-37.58582,145.12687,Whittlesea (C)
Le Page Primary School,-37.95926,145.06814,Kingston (C)
Learning Co-Operative School,-37.62939,145.21333,Nillumbik (S)
Leitchville Primary School,-35.90955,144.30209,Gannawarra (S)
Lemnos Primary School,-36.35805,145.46246,Greater Shepparton (C)
Leongatha Primary School,-38.47893,145.95898,South Gippsland (S)
Leopold Primary School,-38.18726,144.46437,Greater Geelong (C)
Lethbridge Primary School,-37.96906,144.13456,Golden Plains (S)
Lightning Reef Primary School,-36.73692,144.26844,Greater Bendigo (C)
Lilydale Primary School,-37.75367,145.35407,Yarra Ranges (S)
Lindenow Primary School,-37.80088,147.45327,East Gippsland (S)
Lindenow South Primary School,-37.82694,147.4339,East Gippsland (S)
Linton Primary School,-37.68407,143.56131,Golden Plains (S)
Lisieux Catholic Primary School,-38.30332,144.33228,Surf Coast (S)
Lismore Primary School,-37.9546,143.3393,Corangamite (S)
Little Bendigo Primary School,-37.5429,143.89506,Ballarat (C)
Little River Primary School,-37.96501,144.50037,Wyndham (C)
Livingstone Primary School,-37.85289,145.18067,Whitehorse (C)
Lloyd Street Primary School,-37.87242,145.05611,Stonnington (C)
Loch Primary School,-38.36862,145.70295,South Gippsland (S)
Loch Sport Primary School,-38.05819,147.56717,Wellington (S)
Lockington Consolidated School,-36.26577,144.53664,Campaspe (S)
Lockwood Primary School,-36.80258,144.16156,Greater Bendigo (C)
Lockwood South Primary School,-36.8416,144.15675,Greater Bendigo (C)
Lollypop Creek Primary School,-37.91097,144.61342,Wyndham (C)
Longford Primary School,-38.16956,147.08841,Wellington (S)
Longwarry Primary School,-38.1141,145.76914,Baw Baw (S)
Longwood Primary School,-36.80793,145.42206,Strathbogie (S)
Lower Plenty Primary School,-37.72617,145.1155,Banyule (C)
Lucas Primary School,-37.54796,143.7804,Ballarat (C)
Lucknow Primary School,-37.81267,147.63075,East Gippsland (S)
Lumen Christi School,-38.3164,146.41571,Latrobe (C)
Lumen Christi School,-37.58019,143.81724,Ballarat (C)
Lumen Christi School,-37.8926,144.75334,Wyndham (C)
Lynbrook Primary School,-38.05239,145.24899,Casey (C)
Lyndale Greens Primary School,-37.96505,145.20465,Greater Dandenong (C)
Lyndhurst Primary School,-38.07496,145.25408,Casey (C)
Lysterfield Primary School,-37.9116,145.27623,Knox (C)
Macarthur Primary School,-38.03088,142.00147,Moyne (S)
Macarthur Street Primary School,-37.55115,143.85749,Ballarat (C)
Macclesfield Primary School,-37.88979,145.47537,Yarra Ranges (S)
Macedon Primary School,-37.41869,144.56268,Macedon Ranges (S)
Mackellar Primary School,-37.71723,144.77753,Brimbank (C)
Maffra Primary School,-37.964,146.97677,Wellington (S)
Magpie Primary School,-37.61571,143.84327,Ballarat (C)
Maharishi School of the Age of Enlightenment,-37.70438,145.01947,Darebin (C)
Mahogany Rise Primary School,-38.12562,145.1574,Frankston (C)
Maiden Gully Primary School,-36.74419,144.2097,Greater Bendigo (C)
Maldon Primary School,-36.99504,144.06581,Mount Alexander (S)
Malmsbury Primary School,-37.18732,144.38694,Macedon Ranges (S)
Malvern Central School,-37.85601,145.0344,Stonnington (C)
Malvern Primary School,-37.87159,145.03846,Stonnington (C)
Malvern Valley Primary School,-37.8807,145.08149,Stonnington (C)
Manchester Primary School,-37.77213,145.30955,Yarra Ranges (S)
Mandama Primary School,-38.2004,144.32788,Greater Geelong (C)
Manifold Heights Primary School,-38.13597,144.33292,Greater Geelong (C)
Manorvale Primary School,-37.89406,144.64389,Wyndham (C)
Mansfield Primary School,-37.05559,146.08482,Mansfield (S)
Maramba Primary School,-38.00344,145.30412,Casey (C)
Marlborough Primary School,-37.83641,145.23294,Maroondah (C)
Marlo Primary School,-37.79627,148.53504,East Gippsland (S)
Marnoo Primary School,-36.67685,142.87035,Northern Grampians (S)
Marong Primary School,-36.73568,144.13537,Greater Bendigo (C)
Maroona Primary School,-37.4328,142.85847,Ararat (RC)
Mary Immaculate School,-37.77194,145.03876,Banyule (C)
Mary MacKillop School,-37.99584,145.31128,Casey (C)
Mary Queen of Heaven Catholic Primary School,-37.62974,144.88566,Hume (C)
Marysville Primary School,-37.51198,145.74894,Murrindindi (S)
McKinnon Primary School,-37.90805,145.0528,Glen Eira (C)
Meadow Heights Primary School,-37.65042,144.92384,Hume (C)
Meadowglen Primary School,-37.64275,145.05309,Whittlesea (C)
Meadows Primary School,-37.68754,144.92956,Hume (C)
Meeniyan Primary School,-38.57934,146.01518,South Gippsland (S)
Melrose Primary School,-36.1305,146.86142,Wodonga (C)
Melton Primary School,-37.68046,144.58702,Melton (C)
Melton South Primary School,-37.70872,144.57426,Melton (C)
Melton West Primary School,-37.67748,144.56749,Melton (C)
Mentone Park Primary School,-37.98001,145.0828,Kingston (C)
Mentone Primary School,-37.98295,145.06797,Kingston (C)
Menzies Creek Primary School,-37.91735,145.39427,Yarra Ranges (S)
Meredith Primary School,-37.84271,144.07781,Golden Plains (S)
Merino Consolidated School,-37.70637,141.54831,Glenelg (S)
Mernda Park Primary School,-37.61403,145.09694,Whittlesea (C)
Mernda Primary School,-37.5946,145.09224,Whittlesea (C)
Merri Creek Primary School,-37.77697,144.98739,Yarra (C)
Merri-bek Primary School,-37.75505,144.96648,Merri-bek (C)
Merrigum Primary School,-36.36932,145.12966,Greater Shepparton (C)
Merrijig Primary School,-37.1028,146.25688,Mansfield (S)
Merrivale Primary School,-38.37802,142.45615,Warrnambool (C)
Metung Primary School,-37.88296,147.85246,East Gippsland (S)
Mickleham Primary School,-37.5635,144.87655,Hume (C)
Middle Indigo Primary School,-36.15601,146.72484,Indigo (S)
Middle Kinglake Primary School,-37.50521,145.31568,Murrindindi (S)
Middle Park Primary School,-37.8478,144.95751,Port Phillip (C)
Milawa Primary School,-36.44454,146.43248,Wangaratta (RC)
Mildura Primary School,-34.19429,142.16049,Mildura (RC)
Mildura South Primary School,-34.21348,142.12679,Mildura (RC)
Mildura West Primary School,-34.17973,142.15239,Mildura (RC)
Milgate Primary School,-37.7738,145.17519,Manningham (C)
Mill Park Heights Primary School,-37.65733,145.05175,Whittlesea (C)
Mill Park Primary School,-37.67461,145.06588,Whittlesea (C)
Millwarra Primary School,-37.75279,145.65186,Yarra Ranges (S)
Miners Rest Primary School,-37.47788,143.7947,Ballarat (C)
Minyip Primary School,-36.46271,142.5841,Yarriambiack (S)
Mirboo North Primary School,-38.40049,146.15109,South Gippsland (S)
Mirripoa Primary School,-38.22492,144.32848,Greater Geelong (C)
Mitcham Primary School,-37.80899,145.19272,Whitehorse (C)
Mitta Mitta Primary School,-36.53341,147.37948,Towong (S)
Moe (Albert Street) Primary School,-38.17471,146.26435,Latrobe (C)
Moe (South Street) Primary School,-38.18319,146.26006,Latrobe (C)
Moe Primary School,-38.18973,146.24672,Latrobe (C)
Monbulk Primary School,-37.87685,145.41026,Yarra Ranges (S)
Monmia Primary School,-37.71727,144.79205,Brimbank (C)
Mont Albert Primary School,-37.81308,145.10273,Whitehorse (C)
Montmorency Primary School,-37.71765,145.1216,Banyule (C)
Montmorency South Primary School,-37.72493,145.12966,Banyule (C)
Montpellier Primary School,-38.16627,144.31612,Greater Geelong (C)
Montrose Primary School,-37.8081,145.34369,Yarra Ranges (S)
Moolap Primary School,-38.17096,144.42431,Greater Geelong (C)
Moomba Park Primary School,-37.69576,144.96722,Merri-bek (C)
Moonambel Primary School,-36.98986,143.32074,Pyrenees (S)
Moonee Ponds Primary School,-37.76334,144.93299,Moonee Valley (C)
Moonee Ponds West Primary School,-37.76895,144.90933,Moonee Valley (C)
Moorabbin Primary School,-37.94202,145.03959,Kingston (C)
Moorooduc Primary School,-38.24809,145.10517,Mornington Peninsula (S)
Mooroolbark East Primary School,-37.7868,145.3357,Yarra Ranges (S)
Mooroopna North Primary School,-36.32914,145.29849,Greater Shepparton (C)
Mooroopna Park Primary School,-36.3801,145.34594,Greater Shepparton (C)
Mooroopna Primary School,-36.39136,145.36029,Greater Shepparton (C)
Morang South Primary School,-37.65287,145.09467,Whittlesea (C)
Mordialloc Beach Primary School,-38.00558,145.08881,Kingston (C)
Moriac Primary School,-38.24139,144.17557,Surf Coast (S)
Mornington Park Primary School,-38.22603,145.05875,Mornington Peninsula (S)
Mornington Primary School,-38.22181,145.04309,Mornington Peninsula (S)
Morwell Central Primary School,-38.23167,146.40764,Latrobe (C)
Morwell Park Primary School,-38.22793,146.42446,Latrobe (C)
Mossfiel Primary School,-37.87288,144.69612,Wyndham (C)
Mossgiel Park Primary School,-37.96839,145.26772,Casey (C)
Mother of God School,-37.77941,144.80081,Brimbank (C)
Mother Teresa School,-37.57522,144.93276,Hume (C)
Mount Beauty Primary School,-36.7395,147.17159,Alpine (S)
Mount Blowhard Primary School,-37.42924,143.78644,Ballarat (C)
Mount Clear Primary School,-37.60474,143.86837,Ballarat (C)
Mount Dandenong Primary School,-37.83074,145.36217,Yarra Ranges (S)
Mount Duneed Regional Primary School,-38.24124,144.31968,Greater Geelong (C)
Mount Egerton Primary School,-37.62852,144.10217,Moorabool (S)
Mount Eliza North Primary School,-38.1884,145.10054,Mornington Peninsula (S)
Mount Eliza Primary School,-38.19539,145.09219,Mornington Peninsula (S)
Mount Evelyn Primary School,-37.79093,145.38882,Yarra Ranges (S)
Mount Macedon Primary School,-37.40479,144.58413,Macedon Ranges (S)
Mount Martha Primary School,-38.27556,145.01373,Mornington Peninsula (S)
Mount Pleasant Primary School,-37.57836,143.85781,Ballarat (C)
Mount Pleasant Road Nunawading Primary School,-37.82859,145.18009,Whitehorse (C)
Mount View Primary School,-37.88348,145.17881,Monash (C)
Mount Waverley Heights Primary School,-37.88892,145.11127,Monash (C)
Mount Waverley North Primary School,-37.86802,145.14135,Monash (C)
Mount Waverley Primary School,-37.88127,145.12411,Monash (C)
Mountain Gate Primary School,-37.88569,145.26971,Knox (C)
Movelle Primary School,-37.73771,144.77536,Brimbank (C)
Moyhu Primary School,-36.59317,146.38309,Wangaratta (RC)
Moyston Primary School,-37.30166,142.76785,Ararat (RC)
Mulgrave Primary School,-37.93295,145.19737,Monash (C)
Mullum Primary School,-37.79774,145.23944,Maroondah (C)
Murchison Primary School,-36.61718,145.21429,Greater Shepparton (C)
Murrabit Group School,-35.52884,143.95075,Gannawarra (S)
Murrumbeena Primary School,-37.88617,145.07041,Glen Eira (C)
My College,-37.67575,144.92369,Hume (C)
Myrniong Primary School,-37.61972,144.34632,Moorabool (S)
Myrrhee Primary School,-36.73819,146.31825,Wangaratta (RC)
Nagambie Primary School,-36.78759,145.15723,Strathbogie (S)
Nambrok Denison Primary School,-38.05399,146.87481,Wellington (S)
Nangiloc Colignan and District Primary School,-34.47385,142.35779,Mildura (RC)
Nanneella Estate Primary School,-36.31297,144.77804,Campaspe (S)
Napoleons Primary School,-37.67863,143.82646,Golden Plains (S)
Nar Nar Goon Primary School,-38.08277,145.57401,Cardinia (S)
Narracan Primary School,-38.26158,146.23163,Baw Baw (S)
Narrawong District Primary School,-38.25268,141.71658,Glenelg (S)
Narre Warren North Primary School,-37.97859,145.31692,Casey (C)
Nathalia Primary School,-36.05752,145.20589,Moira (S)
Natimuk Primary School,-36.74124,141.9505,Horsham (RC)
Natte Yallock Primary School,-36.94213,143.468,Pyrenees (S)
Navarre Primary School,-36.90074,143.11134,Northern Grampians (S)
Nazareth School,-38.20252,144.33011,Greater Geelong (C)
Nearnung Primary School,-37.82571,144.68496,Wyndham (C)
Neerim South Primary School,-38.01531,145.95536,Baw Baw (S)
New Gisborne Primary School,-37.46289,144.59658,Macedon Ranges (S)
Newborough East Primary School,-38.179,146.29376,Latrobe (C)
Newborough Primary School,-38.18858,146.29279,Latrobe (C)
Newbury Primary School,-37.57099,144.90955,Hume (C)
Newcomb Primary School,-38.16516,144.39495,Greater Geelong (C)
Newham Primary School,-37.31215,144.59476,Macedon Ranges (S)
Newhaven Primary School,-38.51315,145.35686,Bass Coast (S)
Newington Primary School,-37.56602,143.83122,Ballarat (C)
Newlands Primary School,-37.73011,144.98538,Darebin (C)
Newlyn Primary School,-37.41202,143.98443,Hepburn (S)
Newmark Primary,-37.86311,144.9052,Hobsons Bay (C)
Newmerella Primary School,-37.73547,148.434,East Gippsland (S)
Newport Gardens Primary School,-37.84521,144.86883,Hobsons Bay (C)
Newport Lakes Primary School,-37.83842,144.87834,Hobsons Bay (C)
Newstead Primary School,-37.10592,144.06719,Mount Alexander (S)
Newtown Primary School,-38.14577,144.3372,Greater Geelong (C)
Ngarri Primary School,-37.86679,144.58403,Wyndham (C)
Nhill Lutheran School,-36.32773,141.66215,Hindmarsh (S)
Nichols Point Primary School,-34.2088,142.20464,Mildura (RC)
Nicholson Primary School,-37.81578,147.74791,East Gippsland (S)
Niddrie Primary School,-37.73085,144.87843,Moonee Valley (C)
Nilma Primary School,-38.16574,145.97429,Baw Baw (S)
Noble Park Primary School,-37.97063,145.17391,Greater Dandenong (C)
Noorat Primary School,-38.19075,142.92873,Corangamite (S)
Norris Bank Primary School,-37.69451,145.04263,Whittlesea (C)
North Melbourne Primary School,-37.79873,144.95064,Melbourne (C)
Northcote Primary School,-37.77176,144.99688,Darebin (C)
North-Eastern Montessori School,-37.68407,145.13709,Banyule (C)
Nullawarre and District Primary School,-38.46676,142.73443,Moyne (S)
Numurkah Primary School,-36.09024,145.445,Moira (S)
Nunawading Christian College-Primary,-37.82192,145.17005,Whitehorse (C)
Nungurner Primary School,-37.86592,147.88839,East Gippsland (S)
Nyah District Primary School,-35.18608,143.34319,Swan Hill (RC)
Nyora Primary School,-38.33624,145.67489,South Gippsland (S)
Oak Park Primary School,-37.71553,144.91504,Merri-bek (C)
Oakleigh Primary School,-37.89447,145.08862,Monash (C)
Oakleigh South Primary School,-37.92221,145.0947,Monash (C)
Oatlands Primary School,-38.00644,145.31619,Casey (C)
Oberon Primary School,-38.17944,144.34199,Greater Geelong (C)
Ocean Grove Primary School,-38.26399,144.52185,Greater Geelong (C)
Officer Primary School,-38.05828,145.41018,Cardinia (S)
Old Orchard Primary School,-37.80757,145.15251,Whitehorse (C)
Olinda Primary School,-37.8547,145.36619,Yarra Ranges (S)
Omeo Primary School,-37.10022,147.59308,East Gippsland (S)
Orchard Grove Primary School,-37.84023,145.14653,Whitehorse (C)
Orchard Park Primary School,-38.05488,145.39659,Cardinia (S)
Ormond Primary School,-37.907,145.03367,Glen Eira (C)
Orrvale Primary School,-36.41041,145.44054,Greater Shepparton (C)
Osborne Primary School,-38.25711,145.04091,Mornington Peninsula (S)
Osbornes Flat Primary School,-36.31716,146.89257,Indigo (S)
Oscar Romero Catholic Primary School,-37.58197,144.8961,Hume (C)
Our Holy Redeemer School,-37.82032,145.10008,Boroondara (C)
Our Lady Help of Christians School,-37.77634,144.97786,Merri-bek (C)
Our Lady Help of Christians School,-37.71612,145.14791,Nillumbik (S)
Our Lady Help of Christians School,-36.62268,142.47365,Yarriambiack (S)
Our Lady Help of Christians School,-37.52544,143.82561,Ballarat (C)
Our Lady Help of Christians School,-38.38525,142.51953,Warrnambool (C)
Our Lady of Fatima School,-38.37133,144.89754,Mornington Peninsula (S)
Our Lady of Good Counsel School,-37.81108,145.06279,Boroondara (C)
Our Lady of Lourdes School,-37.85246,145.00946,Stonnington (C)
Our Lady of Lourdes School,-37.84898,145.26576,Knox (C)
Our Lady of Mount Carmel School,-37.58004,144.7363,Hume (C)
Our Lady of Perpetual Help School,-37.81642,145.23218,Maroondah (C)
Our Lady of Perpetual Succour School,-37.83006,145.11139,Whitehorse (C)
Our Lady of the Assumption School,-37.9655,145.05971,Kingston (C)
Our Lady of the Immaculate Conception School,-37.78945,144.83556,Brimbank (C)
Our Lady of the Nativity School,-37.75635,144.89658,Moonee Valley (C)
Our Lady of the Pines School,-37.77444,145.17721,Manningham (C)
Our Lady of the Rosary,-37.25051,144.46212,Macedon Ranges (S)
Our Lady of the Sacred Heart Primary,-36.49302,144.61562,Greater Bendigo (C)
Our Lady of the Sacred Heart School,-34.16686,142.05309,Mildura (RC)
Our Lady of the Southern Cross,-37.87585,144.60622,Wyndham (C)
Our Lady of the Way Catholic Primary School,-37.4241,144.99984,Mitchell (S)
Our Lady of the Way School,-37.71526,145.03552,Darebin (C)
Our Lady Star of the Sea Catholic Primary School,-38.4637,145.2398,Bass Coast (S)
Our Lady Star of the Sea School,-38.26078,144.54016,Greater Geelong (C)
Our Lady's School,-36.37219,146.32114,Wangaratta (RC)
Our Lady's School,-37.5986,144.93137,Hume (C)
Overport Primary School,-38.16049,145.12697,Frankston (C)
Oxley Primary School,-36.44156,146.36064,Wangaratta (RC)
Pakenham Consolidated School,-38.06537,145.46466,Cardinia (S)
Pakenham Hills Primary School,-38.06063,145.49442,Cardinia (S)
Pakenham Lakeside Primary School,-38.06846,145.439,Cardinia (S)
Pakenham Primary School,-38.06394,145.51084,Cardinia (S)
Pakenham Springs Primary School,-38.08451,145.47008,Cardinia (S)
Panmure Primary School,-38.32935,142.73253,Moyne (S)
Panton Hill Primary School,-37.64161,145.23956,Nillumbik (S)
Park Orchards Primary School,-37.77952,145.21592,Manningham (C)
Park Ridge Primary School,-37.91841,145.26246,Knox (C)
Parkdale Primary School,-37.99279,145.0831,Kingston (C)
Parkhill Primary School,-37.86288,145.10687,Monash (C)
Parkmore Primary School,-37.84384,145.17718,Whitehorse (C)
Parktone Primary School,-37.98711,145.08824,Kingston (C)
Parkwood Green Primary School,-37.69921,144.74446,Melton (C)
